date,capital
2008-05-14,205976.7833205218
2008-05-28,211575.40447517423
2008-06-04,201191.14800840104
2009-09-23,207195.26238074113
2009-09-30,208799.28238237873
2009-10-07,208309.2608246017
2009-10-14,207370.3194645989
2009-10-21,209215.76982160236
2009-10-28,204456.2710518335
2009-11-04,209317.02764296337
2009-12-09,215506.74309334112
2009-12-16,219515.05842574124
2009-12-23,217092.44571107
2010-01-06,220153.3662256199
2010-01-13,225395.12456863176
2010-01-20,229976.09383204664
2010-01-27,220661.8729834301
2010-02-03,224661.80615176534
2010-02-10,229475.9333823858
2010-03-03,221003.41239420947
2010-03-10,227506.39197559108
2010-03-17,228161.31684936432
2010-03-23,231696.48667388738
2010-03-31,233913.37176581088
2010-04-07,234053.8406261788
2010-04-13,237151.83726061357
2010-04-21,241655.58940390602
2010-04-28,241856.3451573162
2010-05-04,237941.77950086957
2010-05-10,230233.08975347265
2010-05-19,226477.07352627686
2010-05-26,231544.85841221487
2010-06-30,235982.12713066294
2010-07-07,241812.9849554011
2010-07-14,246161.0931921934
2010-07-21,251516.0125424417
2010-07-28,254795.20772165526
2010-08-04,251408.25505510677
2010-08-11,256163.16298045655
2010-08-18,258535.9089782272
2010-08-25,258032.79440789222
2010-09-01,259091.23057656008
2010-09-08,257359.80593669077
2010-09-15,249078.4673236918
2010-09-22,250464.56752792187
2010-09-29,256252.51351462412
2010-10-06,260968.7958782414
2010-10-13,259584.41732122868
2010-12-29,264306.45942199643
2011-01-05,267532.2606903475
2011-01-12,273089.4295147947
2011-05-04,266672.5958391342
2011-05-25,263816.43261955946
2011-06-01,266352.5603155367
2011-06-08,271777.3485115627
2011-06-15,275385.6249908663
2011-06-22,277854.84423905436
2011-06-29,275657.24625346693
2011-07-06,281032.97584182874
2011-07-13,285277.9458804799
2011-07-27,287326.5012309165
2011-08-03,288834.0529738567
2011-08-10,293345.5381745865
2011-08-17,295978.310845913
2011-08-24,300996.76266005443
2011-08-29,305503.5549120542
2011-11-23,300733.42883039126
2011-11-30,300464.58174047776
2012-01-11,300907.9458142825
2012-01-18,302368.1251347606
2012-01-24,301382.4889972806
2012-02-01,305178.5308300473
2012-02-08,310559.53713192354
2012-02-15,309107.5356575898
2012-02-22,315091.3974771219
2012-02-29,319139.77658247564
2012-03-06,318536.028719176
2012-05-02,322995.86920266796
2012-05-09,321100.8149595904
2012-05-16,321707.18617870857
2012-05-23,323886.74655449274
2012-05-30,327255.73066314467
2012-06-06,324247.4601082916
2012-06-13,327299.0314793461
2012-06-20,332411.05000417103
2012-06-27,338035.04804133886
2012-07-04,344440.2278809566
2012-07-11,349164.1094318845
2012-07-18,353935.03209780244
2012-07-25,354366.5927650444
2012-08-01,351665.9097710879
2012-08-08,348881.3572836907
2012-08-14,350761.8294859994
2012-08-22,354032.4189428557
2012-08-29,352463.29619249015
2012-09-05,355540.3376992668
2012-09-12,355193.7448240557
2012-09-14,350860.02387312835
2012-09-26,356292.45953053597
2012-10-03,359509.296079002
2012-10-10,360660.8102258267
2012-10-17,366053.67085581657
2012-10-23,371843.9456553201
2012-10-31,375585.2169601661
2012-11-07,378027.5871737467
2012-11-13,378681.22901257075
2012-11-21,379974.14572651056
2012-11-27,379846.9566241123
2012-12-05,384484.4266819648
2012-12-12,389185.0060266663
2012-12-19,393004.15114100545
2012-12-26,397288.8900363995
2013-01-02,396690.46730791964
2013-01-09,399785.669937299
2013-01-16,401198.14463122335
2013-01-23,405588.59738061274
2013-01-30,409675.4924162652
2013-02-06,412000.2422145683
2013-02-13,414779.8977574726
2013-02-20,418808.54711499007
2013-02-27,419925.25030877045
