sell_date,buy_date,expiry_date,S_sell,S_buy,strike,rv21_sell,rv21_buy,prem_sell_pts,prem_buy_pts,pnl_pts,pnl_pct,abs_underlying_move_pct
2008-02-19,2008-02-27,2008-02-28,5280.8,5268.4,5300,0.5556026795206493,0.3961369453933798,390.5004534984373,107.96901766958945,282.53143582884786,0.05350163532586878,-0.23481290713529557
2008-02-25,2008-03-04,2008-03-05,5200.7,4864.25,5200,0.3991461270615262,0.39987402448094816,275.8484814521121,334.83802033005287,-58.98953887794079,-0.011342615201403809,-6.469321437498799
2008-03-03,2008-03-12,2008-03-13,4953.0,4872.0,4950,0.41247211694703223,0.3484182352299621,271.4626871738178,106.95470528153533,164.5079818922825,0.033213806156325965,-1.6353725015142317
2008-03-10,2008-03-18,2008-03-19,4800.4,4533.0,4800,0.3893319509059309,0.37318166359761057,248.36368935793325,266.4113411049071,-18.047651746973827,-0.003759614146107372,-5.570369135905329
2008-03-14,2008-03-26,2008-03-27,4745.8,4828.85,4750,0.3987897294938592,0.4309399579347338,251.5489662649229,122.75566965072858,128.79329661419433,0.027138374270764536,1.7499683931054832
2008-03-25,2008-04-02,2008-04-03,4877.5,4754.2,4900,0.43176518317162743,0.4502805583067418,280.63318091056453,165.09019421006894,115.54298670049559,0.023688977283545996,-2.527934392619169
2008-04-01,2008-04-09,2008-04-10,4739.55,4747.05,4750,0.4502985125879771,0.4158396719275497,283.82584127734617,99.24457074216753,184.58127053517865,0.03894489361546532,0.15824287115866476
2008-04-07,2008-04-16,2008-04-17,4761.2,4887.3,4750,0.42911595624453414,0.3750507071313403,271.51920680693,150.78329229282554,120.73591451410448,0.025358295075633135,2.6484919768125836
2008-04-11,2008-04-23,2008-04-24,4777.8,5022.8,4800,0.4137593589805825,0.3139333701260823,263.4667938474586,224.64064832148233,38.826145525976244,0.008126364754903144,5.127883126124999
2008-04-21,2008-04-29,2008-04-30,5037.0,5195.5,5050,0.31213228825961425,0.26544044549714196,209.17746285732665,149.73688730166486,59.44057555566178,0.01180078927053043,3.146714314075849
